239108 3
0.045 0.98 6.385
0.008 0.68 5.985
0.011 0.04 6.057
0.006 -0.42 6.526
0.017 -1.09 6.988
0.013 0.76 6.788
0.003 -1.3 6.389
0.009 -7.008 5.727
0.007 -8.426 6.063
0.026 -4.122 6.466
0.096 -2.955 6.935
0.104 -2.938 6.399
0.114 -1.96 6.332
0.152 -1.492 6.869
0.105 -1.394 5.996
0.096 -0.281 5.929
0.15 3.327 6.063
0.163 5.087 6.595
0.178 1.892 6.399
0.13 0.839 6.788
0.11 0.645 6.995
0.064 1.231 6.385
0.048 -0.176 6.123
0.056 0.5 6.66
0.155 1.3 6.929
0.162 1.22 6.585
0.136 -0.03 4.86
0.123 0.03 4.996
0.148 0.38 5.406
0.074 0.51 3.856
0.053 -0.04 3.191
0.031 -3.9 1.853
0.036 -8.88 2.129
0.043 -10.465 1.66
0.031 -6.303 1.119
0.027 -2.351 0.652
0.133 -2.708 1.325
0.399 7.817 6.214
0.157 3.616 6.518
0.111 0 6.054
0.094 0.689 4.455
0.079 0 4.123
0.167 -8.534 5.133
0.264 -7.913 5.534
0.303 3.987 5.198
0.283 1.869 3.459
0.38 0.533 4.399
0.167 -4.143 6.048
0.112 -7.366 4.389
0.075 -3.536 3.392
0.066 -0.585 3.123
0.073 -0.335 3.459
0.093 -0.983 4.534
0.08 5.368 3.728
0.166 0.763 5.071
0.202 0.975 6.988
0.165 3.13 5.652
0.115 0.84 3.851
0.131 1.464 4.668
0.124 0.945 3.594
0.11 0.746 3.258
0.116 -0.074 2.922
0.126 0.203 3.123
0.108 1.158 2.72
0.19 0.336 3.459
0.375 0.576 6.871
0.092 0.756 6.182
0.111 0.03 5.66
0.166 -2.976 5.593
0.173 -7.861 5.265
0.153 -9.554 3.855
0.188 5.633 4.392
0.209 3.343 4.594
0.184 2.434 3.926
0.176 0.608 3.459
0.291 -0.112 4.803
0.364 0.331 6.451
0.36 1.02 5.988
0.376 0.541 6.063
0.335 0.82 4.994
0.27 0.376 3.928
0.242 -0.074 3.594
0.271 0.541 3.997
0.257 0.238 3.795
0.392 0.371 5.676
0.321 -0.068 5.056
0.386 -4.916 6.608
0.385 -11.021 6.332
0.368 -7.968 6.265
0.351 2.754 5.728
0.402 0.906 6.533
0.309 1.324 6.122
0.308 2.104 6.864
0.3 1.59 6.459
0.294 1.763 6.324
0.295 1.292 5.661
0.275 0.436 5.593
0.307 0.478 6.332
0.371 1.017 6.797
0.356 0.065 6.73
0.284 0.308 5.062
0.246 0.341 4.331
0.247 0.337 3.795
0.269 -0.274 4.131
0.309 -3.585 5.467
0.3 -7.649 5.13
0.297 -7.306 5.13
0.289 2.035 4.862
0.344 2.712 5.534
0.128 2.273 6.59
0.132 0.367 5.928
0.094 -0.751 5.929
0.086 -1.701 5.392
0.093 -2.143 5.996
0.111 -1.487 6.332
0.085 1.549 5.996
0.108 -0.417 5.795
0.142 2.508 6.063
0.405 1.831 6.6
0.487 0.098 6.787
0.495 -2.629 6.865
0.151 -7.994 6.324
0.052 3.456 5.25
0.017 2.271 5.25
0.057 1.181 6.057
0.072 1.255 5.787
0.035 0.717 5.451
0.007 0.09 5.184
0.029 1.059 5.452
0.032 0.678 5.653
0.04 0.574 6.72
0.09 0.205 6.719
0.125 0.205 6.582
0.093 0.102 5.248
0.075 0 4.921
0.069 -3.96 4.191
0.052 -10.649 3.459
0.043 1.419 3.392
0.07 2.994 3.459
0.04 3.022 2.189
0.022 1.287 1.988
0.051 0.812 2.795
0.034 1.054 2.19
0.02 0.164 1.721
0.039 0.34 2.394
0.081 0.377 3.736
0.14 -0.449 5.324
0.014 -1.36 6.316
0.028 -0.706 5.993
0.073 -4.029 5.727
0.131 -9.454 5.929
0.09 3.382 5.126
0.077 2.437 4.795
0.089 1.865 4.664
0.133 0.364 5.938
0.062 1.093 6.794
0.067 1.252 5.526
0.049 1.157 6.198
0.051 0.641 6.131
0.059 0.102 5.392
0.056 0.372 5.459
0.046 0.409 4.056
0.045 0.44 4.19
0.075 0 5.333
0.278 -0.718 6.92
0.154 -3.676 6.853
0.157 -5.297 6.726
0.124 -8.424 6.393
0.101 1.08 6.327
0.092 2.376 6.46
0.012 3.058 6.054
0.003 1.388 6.525
0.003 0.748 5.791
0.007 -0.858 6.063
0.025 -2.596 5.996
0.037 -2.613 5.392
0.026 -1.14 5.459
0.026 1.23 6.525
0.01 2.207 5.995
0.011 0.444 5.593
0.003 -2.975 5.661
0.005 -8.198 5.325
0.009 1.326 5.996
0.022 3.665 5.66
0.056 2.644 6.869
0.199 1.423 6.719
0.175 1.046 6.991
0.183 1.122 6.93
0.182 0 6.729
0.211 0.062 6.999
0.198 1.059 6.868
0.209 0.61 6.869
0.127 0.439 6.126
0.108 0.478 6.197
0.141 0.308 6.735
0.131 -0.342 6.265
0.155 -5.123 6.533
0.156 -11.499 6.399
0.169 4.913 6.533
0.111 2.269 6.652
0.095 1.458 6.456
0.074 0.909 6.191
0.169 0.371 6.862
0.108 0.75 5.589
0.146 0.609 6.13
0.157 1.162 5.862
0.032 0.165 6.452
0.022 0.781 6.989
0.017 0.341 6.592
0.009 0.171 6.66
0.023 -0.479 6.996
0.021 -6.898 6.585
0.074 -12.307 6.924
0.37 2.769 6.921
0.376 2.909 6.924
0.256 1.487 5.393
0.332 1.286 6.943
0.216 1.532 6.788
0.532 0.406 6.583
0.416 1.359 4.923
0.444 0.473 4.933
0.495 0.475 5.071
0.371 0.475 6.249
0.26 0 6.119
0.262 0.274 6.195
0.219 -0.547 4.723
0.215 -5.973 5.13
0.037 3.73 6.259
0.045 3.176 6.26
0.406 1.926 6.593
0.405 1.047 6.601
0.37 0.265 6.399
0.45 0.649 6.936
0.586 1.427 6.727
0.417 0.098 4.586
0.505 0.136 6.134
0.419 0.716 4.726
0.284 0.204 3.254
0.231 -0.14 2.458
0.22 -1.605 1.988
