2527 3
1476858331.206547 -1.010042 37.621627
1476858332.246846 -1.009908 37.621453
1476858333.285999 -1.009842 37.621362
1476858334.326790 -1.009842 37.621362
1476858335.366263 -1.009697 37.621175
1476858336.406653 -1.009623 37.621080
1476858337.446382 -1.009623 37.621080
1476858338.487243 -1.009502 37.620878
1476858339.539645 -1.009458 37.620772
1476858340.578409 -1.009458 37.620772
1476858341.618705 -1.009377 37.620557
1476858342.659331 -1.009377 37.620557
1476858343.699037 -1.009340 37.620452
1476858344.748913 -1.009270 37.620253
1476858345.788119 -1.009270 37.620253
1476858346.828612 -1.009240 37.620173
1476858347.880194 -1.009165 37.619975
1476858348.919207 -1.009165 37.619975
1476858349.958481 -1.009140 37.619900
1476858350.997952 -1.009080 37.619737
1476858352.038551 -1.009080 37.619737
1476858353.078076 -1.008995 37.619575
1476858354.158675 -1.008935 37.619492
1476858355.198826 -1.008935 37.619492
1476858356.254566 -1.008775 37.619327
1476858357.299568 -1.008678 37.619255
1476858358.340763 -1.008678 37.619255
1476858359.379343 -1.008465 37.619125
1476858360.417993 -1.008358 37.619063
1476858361.458651 -1.008358 37.619063
1476858362.499220 -1.008148 37.618950
1476858363.539827 -1.008048 37.618897
1476858364.588349 -1.008048 37.618897
1476858365.627363 -1.007857 37.618800
1476858366.667656 -1.007857 37.618800
1476858367.707350 -1.007780 37.618748
1476858368.748832 -1.007690 37.618622
1476858369.787739 -1.007690 37.618622
1476858370.829074 -1.007653 37.618555
1476858371.868565 -1.007505 37.618362
1476858372.919549 -1.007505 37.618362
1476858373.960054 -1.007438 37.618303
1476858374.999733 -1.007290 37.618188
1476858376.040023 -1.007290 37.618188
1476858377.078474 -1.007210 37.618132
1476858378.120479 -1.007050 37.618013
1476858379.159629 -1.007050 37.618013
1476858380.199107 -1.006887 37.617900
1476858381.251414 -1.006808 37.617842
1476858382.288798 -1.006808 37.617842
1476858383.328330 -1.006665 37.617728
1476858384.368683 -1.006602 37.617673
1476858385.408237 -1.006602 37.617673
1476858386.448880 -1.006493 37.617577
1476858387.488372 -1.006432 37.617543
1476858388.528879 -1.006432 37.617543
1476858389.580010 -1.006270 37.617502
1476858390.621302 -1.006270 37.617502
1476858391.661788 -1.006168 37.617493
1476858392.700673 -1.005958 37.617475
1476858393.743054 -1.005958 37.617475
1476858394.779590 -1.005852 37.617463
1476858395.821587 -1.005487 37.617412
1476858396.861928 -1.005487 37.617412
1476858397.911349 -1.005487 37.617412
1476858398.951318 -1.005098 37.617330
1476858399.989710 -1.005098 37.617330
1476858401.029480 -1.004970 37.617302
1476858402.069039 -1.004710 37.617242
1476858403.112713 -1.004710 37.617242
1476858404.149147 -1.004447 37.617177
1476858405.188843 -1.004312 37.617145
1476858406.238886 -1.004312 37.617145
1476858407.279815 -1.004043 37.617082
1476858408.329100 -1.003912 37.617048
1476858409.369997 -1.003912 37.617048
1476858410.409267 -1.003652 37.616972
1476858411.452564 -1.003525 37.616928
1476858412.490697 -1.003525 37.616928
1476858413.531346 -1.003292 37.616842
1476858414.580390 -1.003185 37.616798
1476858415.623015 -1.003185 37.616798
1476858416.662167 -1.002992 37.616708
1476858417.702887 -1.002992 37.616708
1476858418.742880 -1.002898 37.616668
